"year","total_prod","total_areaKM","total_mean","total_max","total_min","total_humidity","total_GDD","total_range","total_prodperareaKM"
2001,6177293,5103.13,22.2518330122885,27.0157446508319,18.4752509146347,67.6574609504363,242.79,8.5404937361972,1210.49101237868
2002,6689179,5029.39,22.272517581655,26.7403480143715,18.571533446402,66.3080027001286,249.38,8.16881456796948,1330.01795446366
2003,6800981,5095.88,22.245742874636,26.9954354694381,18.4773103173544,65.7937564463841,247.22,8.51812515208364,1334.60383682504
2004,6583564,4910.42,21.9736965880719,26.5155615405607,18.3686454926463,67.403761124303,242.47,8.14691604791444,1340.73337922214
2005,6703400,4911.8,22.2294675475386,26.8489589152653,18.4924521967507,66.307406897675,248.73,8.3565067185146,1364.75426523881
2006,6956179,5045.86,22.1197031824109,26.7824678251081,18.364992151982,66.7284331115013,243.58,8.41747567312609,1378.59136004566
2007,7098353,5153.46,22.3252501426226,27.1534777411681,18.3531649222076,65.2112091294004,248.08,8.80031281896047,1377.39557501174
2008,6998150,5130.97,22.0996105219871,26.8479371931623,18.1981986057217,66.4335129419973,241.51,8.64973858744058,1363.90390121166
2009,6783490,4796.14,22.0984903901888,26.6879442426618,18.4096718819718,68.2638110647312,246.84,8.27827236069006,1414.36446809309
2010,6969306,4877.9,22.337786916501,27.1323418889276,18.3940265688104,65.1001932183932,252.98,8.73831532011726,1428.75130691486
2011,7329471,5033.54,21.8987910695058,26.6051075187641,18.0546461337349,66.7557105138729,241.58,8.55046138502922,1456.12650341509
2012,6902184,4811.16,22.3387317611553,27.2413226332111,18.2425057366623,62.9643741426184,251.28,8.99881689654886,1434.61950964009
2013,6892622,4850.75,22.3235557594186,27.0241576869556,18.4988863783951,65.5682323352059,249.22,8.52527130856053,1420.93944235428
2014,6953747,4787.65,22.4112309379341,27.1490519565967,18.5415221664073,64.9577099412029,250.09,8.60752979018934,1452.43428404332
2015,6859227,4781.69,22.9535618996631,27.8188684544586,19.0002708038371,64.6449514083933,261.92,8.81859765062143,1434.47755918932
2016,6625211,4637.71,22.6258905580556,27.4767146285559,18.6677740091554,64.4936517591656,260.57,8.80894061940052,1428.55223806577
2017,6584967,4613.65,22.8228686397971,27.6158467807484,18.9194637868065,65.8154357612736,254.19,8.69638299394189,1427.27926912531
2018,6723590,4580.54,22.7542129748894,27.547830103001,18.8860444401752,67.4604014155536,249.67,8.66178566282578,1467.859684666
2019,6831874,4620.26,23.1515187240545,28.0638782233035,19.158154476155,65.6270538887422,259.48,8.90572374714843,1478.67739044989
2020,6593437,4518.74,22.4979029773787,27.468038059282,18.4988762796709,66.0882677029438,248.8,8.96916177961113,1459.1317491159
2021,6803350,4533.05,22.5039052955516,27.4577627866448,18.5053501285007,65.2682305511742,245.79,8.95241265814408,1500.83277263653
2022,6923179,4584.89,22.2253737385194,27.1290190604355,18.2756413349066,67.1003874902124,239.81,8.85337772552886,1509.99893127207
